Team,Year,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Phoenix Suns,1993-94,82,56,26,240.3,41.8,86.3,0.484,4.2,12.7,0.33,37.6,73.6,0.511,20.4,28.1,0.728,14.9,29.9,44.8,27.6,9.1,5.6,15.9,20,108.2
Golden State Warriors,1993-94,82,50,32,241.2,42.8,87.1,0.492,3.5,10.5,0.339,39.3,76.7,0.512,18.6,28.1,0.664,14.4,29.2,43.6,26.8,9.8,6.2,17.5,21.8,107.9
Portland Trail Blazers,1993-94,82,47,35,240.9,41.1,90.6,0.454,3.3,9.4,0.353,37.8,81.2,0.466,21.7,29.2,0.743,15.9,30,45.9,25.2,9.1,5,14.8,22.3,107.3
Charlotte Hornets,1993-94,82,41,41,241.8,41.2,86.6,0.476,4.1,11.2,0.367,37.1,75.4,0.493,19.9,26,0.764,12.4,30.2,42.6,27,8.8,4.8,15.4,21.3,106.5
Seattle SuperSonics,1993-94,82,63,19,240.6,40.7,84.2,0.484,3,8.8,0.335,37.8,75.4,0.501,21.6,29,0.745,14,27.2,41.2,25.8,12.8,4.5,15.4,23.3,105.9
Orlando Magic,1993-94,82,50,32,240.6,40.7,83.9,0.485,4.8,13.9,0.347,35.9,70.1,0.513,19.4,28.6,0.678,14.4,28.7,43.1,25.2,8.3,5.6,16.2,20.9,105.7
Miami Heat,1993-94,82,42,40,241.5,39,84.1,0.464,4.1,12.2,0.338,34.9,71.9,0.485,21.3,27.1,0.785,15.1,29.4,44.4,22.6,7.8,4.6,16,24.7,103.4
New Jersey Nets,1993-94,82,45,37,241.8,38.6,86.8,0.445,2.7,8.3,0.327,35.9,78.4,0.458,23.2,30.4,0.762,15.9,31.2,47,23.2,8.5,7,14.6,20.6,103.2
Los Angeles Clippers,1993-94,82,27,55,241.2,40.8,87.4,0.467,3.1,10.1,0.303,37.7,77.2,0.488,18.4,26,0.709,13.7,29.4,43,26.5,9.8,5.1,18,21.6,103
Utah Jazz,1993-94,82,53,29,241.8,39.1,82.1,0.477,2.2,6.8,0.32,36.9,75.2,0.491,21.5,29,0.74,12.9,29.1,42,26.6,9.2,4.4,14.5,24.2,101.9
Atlanta Hawks,1993-94,82,57,25,240.9,39.6,85.8,0.461,3.3,10.1,0.323,36.3,75.7,0.48,19,25.2,0.752,15.2,29.5,44.8,25.1,11.2,5.5,15.3,19.8,101.4
Cleveland Cavaliers,1993-94,82,47,35,242.1,38.2,82.1,0.465,3.6,9.9,0.362,34.6,72.2,0.48,21.2,27.5,0.77,13.3,28.7,42,25,8.6,5.2,13.9,20.7,101.2
Houston Rockets,1993-94,82,58,24,241.2,39,82.1,0.475,5.2,15.7,0.334,33.8,66.4,0.508,17.9,24.1,0.743,11.3,31.9,43.2,25.5,8.7,5.9,16.3,20.1,101.1
Sacramento Kings,1993-94,82,28,54,240.9,38.8,85.7,0.452,3.1,8.9,0.353,35.6,76.8,0.464,20.4,28,0.731,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1
Indiana Pacers,1993-94,82,47,35,240.9,38.6,79.5,0.486,2.2,6.1,0.368,36.4,73.4,0.496,21.5,29.1,0.738,13.8,29.4,43.2,25.1,8.6,5.6,17.6,24.1,101
